rev_Mean,mou_Mean,totmrc_Mean,roam_Mean,change_mou,change_rev,churn,months,uniqsubs,actvsubs,new_cell,totcalls,totmou,totrev,area,phones,hnd_webcap,income,creditcd,Customer_ID
"23,9975","219,25","22,5",0,"-157,25","-18,9975",1,61,2,1,U,1652,4228,"1504,62",NORTHWEST/ROCKY MOUNTAIN AREA,2,WCMB,4,Y,1000001
"57,4925","482,75","37,425",0,"532,25","50,9875",0,56,1,1,N,14654,26400,"2851,68",CHICAGO AREA,7,WC,5,Y,1000002
"16,99","10,25","16,99",0,"-4,25",0,1,58,1,1,Y,7903,"24385,05333","2155,91",GREAT LAKES AREA,2,NA,5,Y,1000003
38,"7,5",38,0,"-1,5",0,0,60,1,1,Y,1502,3065,"2000,9",CHICAGO AREA,1,NA,6,Y,1000004
"55,23","570,5","71,98",0,"38,5",0,0,57,1,1,Y,4485,14028,"2181,12",NEW ENGLAND AREA,6,WCMB,6,Y,1000005
"82,275","1312,25",75,0,"156,75","8,145",0,59,2,2,Y,26812,40869,"4033,98",GREAT LAKES AREA,9,WCMB,6,Y,1000006
"17,145",0,"16,99",0,0,"-0,155",1,53,2,2,N,6279,"17390,03333","3091,7",DALLAS AREA,4,NA,9,Y,1000007
"38,0525","682,5","52,49",0,"147,5","-3,0625",0,53,1,1,Y,4491,12492,"1427,71",DALLAS AREA,3,WCMB,1,Y,1000008
"97,3375",1039,50,0,198,"23,2625",0,55,1,1,Y,16730,"43231,05333","4404,44",CHICAGO AREA,3,NA,4,N,1000009
"31,6625","25,5","29,99",0,"59,5","4,0275",0,57,2,2,N,391,994,"1458,42",DALLAS AREA,2,WCMB,9,Y,1000010
"62,1275","97,5","65,985",0,"23,5","6,8225",0,59,2,2,Y,2392,"6868,11","3290,73",DALLAS AREA,3,WCMB,6,Y,1000011
"35,295","24,25","34,98",0,"19,75","-0,315",0,53,3,3,Y,3207,"5579,136667","3104,16",CENTRAL/SOUTH TEXAS AREA,4,WC,9,Y,1000012
81,"1056,25",75,0,"42,75","2,35",0,55,1,1,Y,31584,"51857,07","4270,87",GREAT LAKES AREA,9,WCMB,5,Y,1000013
"25,225","2,5",25,0,"-2,5","-0,225",0,53,2,2,Y,400,642,"1370,94",CENTRAL/SOUTH TEXAS AREA,2,WCMB,7,N,1000014
"212,515","1971,5","84,99","35,4975","-200,5","-106,765",0,59,5,1,Y,33184,"69161,08333","6616,72",NORTHWEST/ROCKY MOUNTAIN AREA,10,WCMB,3,Y,1000015
"42,565","270,5","37,48",0,"201,5","-1,785",0,55,2,2,N,7586,"15226,03","2311,08",DALLAS AREA,5,WCMB,1,Y,1000016
